Loại công trình,<=10,20,50,100,200,500,1000,2000,5000,8000,10000
"Công trình dân dụng",0.844,0.715,0.596,0.394,0.305,0.261,0.176,0.153,0.132,0.112,0.110
"Công trình công nghiệp",1.147,1.005,0.958,0.811,0.490,0.422,0.356,0.309,0.270,0.230,0.218
"Công trình giao thông",0.677,0.580,0.486,0.320,0.261,0.217,0.164,0.127,0.110,0.092,0.085
"Công trình nông nghiệp và phát triển nông thôn",0.718,0.585,0.520,0.344,0.276,0.232,0.159,0.125,0.096,0.091,0.091
"Công trình hạ tầng kỹ thuật",0.803,0.690,0.575,0.383,0.306,0.261,0.173,0.150,0.125,0.105,0.095
