Loại công trình,<=15,20,50,100,200,500,1000,2000,5000,10000,20000,30000
"Công trình dân dụng",0.071,0.059,0.048,0.034,0.025,0.016,0.014,0.012,0.009,0.007,0.005,0.004
"Công trình công nghiệp",0.098,0.083,0.067,0.049,0.037,0.028,0.025,0.020,0.015,0.010,0.007,0.005
"Công trình giao thông",0.054,0.049,0.039,0.030,0.021,0.015,0.011,0.009,0.007,0.005,0.004,0.003
"Công trình nông nghiệp và phát triển nông thôn",0.064,0.058,0.047,0.033,0.024,0.015,0.013,0.011,0.008,0.006,0.004,0.004
"Công trình hạ tầng kỹ thuật",0.056,0.051,0.041,0.032,0.020,0.012,0.010,0.009,0.006,0.004,0.004,0.003
