Loại công trình,<=10,20,50,100,200,500,1000,2000,5000,10000,20000,30000
"Công trình dân dụng","3,446","2,923","2,610","2,017","1,886","1,514","1,239","0,958","0,711","0,510","0,381","0,305"
"Công trình công nghiệp","3,557","3,018","2,694","2,082","1,947","1,564","1,279","1,103","0,734","0,527","0,393","0,314"
"Công trình giao thông","3,024","2,566","2,292","1,771","1,655","1,329","1,088","0,937","0,624","0,448","0,335","0,268"
"Công trình nông nghiệp và phát triển nông thôn","3,263","2,769","2,473","1,910","1,786","1,434","1,174","1,012","0,674","0,484","0,361","0,289"
"Công trình hạ tầng kỹ thuật","2,901","2,461","2,198","1,593","1,560","1,275","1,071","0,899","0,599","0,429","0,321","0,257"
