Loại công trình,<=15,20,50,100,200,500,1000,2000,5000,10000,20000,30000
"Công trình dân dụng",0.204,0.168,0.138,0.097,0.070,0.046,0.041,0.034,0.026,0.019,0.015,0.012
"Công trình công nghiệp",0.281,0.238,0.190,0.141,0.107,0.080,0.070,0.056,0.044,0.029,0.020,0.015
"Công trình giao thông",0.153,0.139,0.112,0.087,0.058,0.036,0.032,0.026,0.020,0.014,0.010,0.009
"Công trình nông nghiệp và phát triển nông thôn",0.182,0.167,0.133,0.094,0.068,0.044,0.037,0.032,0.026,0.017,0.014,0.010
"Công trình hạ tầng kỹ thuật",0.160,0.145,0.116,0.092,0.060,0.037,0.034,0.029,0.022,0.015,0.010,0.009
