Loại công trình,<=10,20,50,100,200,500,1000,2000,5000,8000,10000
"Công trình dân dụng",3.285,2.853,2.435,1.845,1.546,1.188,0.797,0.694,0.620,0.530,0.478
"Công trình công nghiệp",3.508,3.137,2.559,2.074,1.604,1.301,0.823,0.716,0.640,0.550,0.493
"Công trình giao thông",3.203,2.700,2.356,1.714,1.272,1.003,0.731,0.636,0.550,0.480,0.438
"Công trình nông nghiệp và phát triển nông thôn",2.598,2.292,2.075,1.545,1.189,0.950,0.631,0.550,0.470,0.378,0.375
"Công trình hạ tầng kỹ thuật",2.566,2.256,1.984,1.461,1.142,0.912,0.584,0.509,0.452,0.390,0.350
