Loại công trình,<=10,20,50,100,200,500,1000,2000,5000,8000,10000
"Công trình dân dụng",0.250,0.219,0.166,0.140,0.105,0.077,0.064,0.043,0.032,0.027,0.025
"Công trình công nghiệp",0.282,0.244,0.185,0.141,0.108,0.083,0.062,0.050,0.034,0.030,0.027
"Công trình giao thông",0.166,0.142,0.106,0.082,0.069,0.052,0.041,0.034,0.021,0.018,0.015
"Công trình nông nghiệp và phát triển nông thôn",0.183,0.158,0.119,0.092,0.070,0.053,0.040,0.034,0.024,0.021,0.018
"Công trình hạ tầng kỹ thuật",0.191,0.166,0.128,0.095,0.072,0.056,0.044,0.037,0.026,0.022,0.020
