Loại công trình,<=15,20,50,100,200,500,1000,2000,5000,10000,20000,30000
"Công trình dân dụng",1.114,0.914,0.751,0.534,0.402,0.287,0.246,0.209,0.167,0.134,0.102,0.086
"Công trình công nghiệp",1.261,1.112,0.882,0.654,0.515,0.466,0.404,0.315,0.248,0.189,0.135,0.107
"Công trình giao thông",0.689,0.628,0.501,0.393,0.271,0.203,0.177,0.151,0.12,0.097,0.075,0.063
"Công trình nông nghiệp và phát triển nông thôn",0.943,0.855,0.685,0.48,0.361,0.273,0.234,0.201,0.161,0.129,0.1,0.084
"Công trình hạ tầng kỹ thuật",0.719,0.654,0.524,0.407,0.28,0.211,0.185,0.158,0.127,0.101,0.078,0.065
