Loại công trình,<=10,20,50,100,200,500,1000,2000,5000,8000,10000
"Công trình dân dụng",0.258,0.223,0.172,0.143,0.108,0.083,0.068,0.044,0.033,0.028,0.026
"Công trình công nghiệp",0.290,0.252,0.192,0.146,0.113,0.087,0.066,0.053,0.038,0.031,0.028
"Công trình giao thông",0.170,0.147,0.113,0.084,0.073,0.055,0.042,0.035,0.024,0.021,0.017
"Công trình nông nghiệp và phát triển nông thôn",0.189,0.163,0.125,0.093,0.079,0.061,0.045,0.035,0.025,0.022,0.019
"Công trình hạ tầng kỹ thuật",0.197,0.172,0.133,0.099,0.079,0.057,0.046,0.040,0.029,0.024,0.021
